
"SAN JOSE DEL PACIFICO","MULEGE","03106"
"SAN LUCAS","MULEGE","03044"
"SAN MARTIN","MULEGE","03158"
"SAN MIGUEL","MULEGE","03156"
"SAN ZACARIAS","MULEGE","03100"
"SANTA AGUEDA","MULEGE","03107"
"SANTA MARTHA","MULEGE","03185"
"SANTA ROSALIA","MULEGE","03061"
"SANTA ROSALIA","MULEGE","03169"
"VIZCAINO","MULEGE","03070"
"ALVARADO","CALAKMUL","04080"
"CONHUAS","CALAKMUL","04061"
"CRISTOBAL COLON","CALAKMUL","04081"
"LA ESPERANZA","CALAKMUL","04018"
"PLACERES","CALAKMUL","04027"
"XBONIL","CALAKMUL","04060"
"XPUGIL","CALAKMUL","04036"
"ZOH LAGUNA","CALAKMUL","04037"
"BECAL","CALKINI","04064"
"CALKINI","CALKINI","04067"
"CALKINI","CALKINI","04002"
"DZITBALCHE","CALKINI","04070"
"E.T.A. 086 CALKINI","CALKINI","04051"
"ISLA ARENAS","CALKINI","04014"
"NUNKINI","CALKINI","04065"
"CAMPECHE","CAMPECHE","04038"
"CAMPECHE","CAMPECHE","04003"
"CASTAMAY","CAMPECHE","04047"
"CHINA","CAMPECHE","04068"
"EDZNA I","CAMPECHE","04045"
"EDZNA II","CAMPECHE","04063"
"NILCHI","CAMPECHE","04023"
"NOH YAXCHE","CAMPECHE","04058"
"POCYAXUN","CAMPECHE","04071"
"SANTA CRISTINA","CAMPECHE","04053"
"TIXMUCUY","CAMPECHE","04084"
"CANDELARIA","CANDELARIA","04039"
"CANDELARIA","CANDELARIA","04004"
"MIGUEL HIDALGO","CANDELARIA","04020"
"MONCLOVA","CANDELARIA","04021"
"PABLO T. BURGOS","CANDELARIA","04082"
"CHICBUL","CARMEN","04054"
"EL CARMEN","CARMEN","04040"
"EL CARMEN","CARMEN","04007"
"EL ZAPOTE","CARMEN","04086"
"ENTRE HERMANOS","CARMEN","04083"
"ISLA AGUADA","CARMEN","04015"
"MAMANTEL","CARMEN","04057"
"NANZAL","CARMEN","04019"
"SABANCUY","CARMEN","04029"
"SAN ISIDRO","CARMEN","04030"
"VISTA ALEGRE","CARMEN","04079"
"CANASAYAB","CHAMPOTON","04052"
"CHAC CHEITO","CHAMPOTON","04078"
"CHAMPOTON","CHAMPOTON","04041"
"CHAMPOTON","CHAMPOTON","04008"
"HOOL","CHAMPOTON","04012"
"PIXOYAL","CHAMPOTON","04026"
"PIXOYAL","CHAMPOTON","04044"
"PUSTUNICH","CHAMPOTON","04028"
